kml_nombre,kml_lat,kml_lon,kml_capa,kml_category,action,osm_id,osm_name,distance_m,notes
PL-66,-8.0813538,-78.9581300,LAREDO,green,new,,,,
PL-67,-8.0815584,-78.9581667,LAREDO,green,new,,,,
PL-7,-8.0815759,-78.9515476,LAREDO,green,new,,,,
PL-76,-8.0681962,-78.9550941,LAREDO,green,new,,,,
PL-79,-8.0682407,-78.9531234,LAREDO,green,new,,,,
PL-8,-8.0910913,-78.9632755,LAREDO,green,new,,,,
PL-80,-8.0700442,-78.9503335,LAREDO,green,new,,,,
PL-81,-8.0699765,-78.9504100,LAREDO,green,new,,,,
PL-84,-8.0730883,-78.9882328,LAREDO,green,new,,,,
PL-85,-8.0858895,-78.9918306,LAREDO,green,new,,,,
PL-86,-8.0679914,-78.9833998,LAREDO,green,new,,,,
PL-87,-8.0676170,-78.9802070,LAREDO,green,new,,,,
PL-89,-8.0642117,-78.9793416,LAREDO,green,new,,,,
PL-90,-8.0637201,-78.9762182,LAREDO,green,new,,,,
PL-91,-8.0827218,-78.9927396,LAREDO,green,new,,,,
PL-93,-8.0678699,-78.9831567,LAREDO,green,new,,,,
PL-94,-8.0677132,-78.9797228,LAREDO,green,new,,,,
PL-96,-8.1112312,-78.9960625,LAREDO,green,new,,,,
PL-Existente,-8.0924662,-78.9672482,LAREDO,green,new,,,,
PL-Existente,-8.0927534,-78.9672582,LAREDO,green,new,,,,
PM-  83,-8.1383248,-78.9923114,Moche,green,new,,,,
PM- 82,-8.1384370,-78.9923593,Moche,green,new,,,,
PM-10,-8.1790710,-79.0146422,Moche,green,new,,,,
PM-100,-8.1868940,-78.9810193,Moche,green,new,,,,
PM-105,-8.1832442,-78.9922571,Moche,green,new,,,,
PM-11,-8.1797118,-79.0134117,Moche,green,new,,,,
PM-111,-8.1786953,-78.9971565,Moche,green,new,,,,
PM-113,-8.1816211,-78.9905174,Moche,green,new,,,,
PM-117,-8.1192248,-79.0035100,Moche,green,new,,,,
PM-120,-8.1317103,-79.0204793,Moche,green,new,,,,
PM-121,-8.1337910,-79.0188257,Moche,green,merge,5082686253,Panamericana Norte,27.5,
PM-124,-8.1317432,-79.0207311,Moche,green,new,,,,
PM-15,-8.1871837,-79.0045007,Moche,green,new,,,,
PM-17,-8.1698490,-79.0096191,Moche,green,new,,,,
PM-19,-8.1742832,-79.0120072,Moche,green,new,,,,
PM-2,-8.1560392,-79.0123009,Moche,green,new,,,,
PM-20,-8.1657696,-79.0100234,Moche,green,new,,,,"Rechazado OSM 12121157804 (lado opuesto, 8.2m). "
PM-21,-8.1766198,-79.0128484,Moche,green,new,,,,
PM-22,-8.1691962,-79.0069362,Moche,green,new,,,,
PM-23,-8.1655834,-79.0087473,Moche,green,new,,,,
PM-24,-8.1678853,-79.0060541,Moche,green,new,,,,"Rechazado OSM 12121157805 (lado opuesto, 24.4m). "
PM-27,-8.1442256,-79.0125973,Moche,green,new,,,,
PM-30,-8.1496453,-79.0085287,Moche,green,new,,,,
PM-33,-8.1371455,-78.9971089,Moche,green,new,,,,
PM-36,-8.1750777,-78.9966442,Moche,green,new,,,,
PM-37,-8.1758114,-78.9965678,Moche,green,new,,,,
PM-38,-8.1470241,-79.0026151,Moche,green,new,,,,
PM-41,-8.1564809,-79.0121467,Moche,green,new,,,,
PM-42,-8.1608044,-79.0118262,Moche,green,new,,,,
PM-49,-8.1744099,-79.0119408,Moche,green,new,,,,
PM-54,-8.1897178,-79.0038593,Moche,green,new,,,,
PM-59,-8.1806722,-79.0124981,Moche,green,merge,8743805428,Avenida Perú,6.3,
PM-60,-8.1767231,-79.0127566,Moche,green,merge,12121155299,Avenida de La Marina,27.7,
PM-61,-8.1656604,-79.0089733,Moche,green,new,,,,
PM-63,-8.1693897,-79.0069315,Moche,green,new,,,,
PM-70,-8.1443587,-79.0127660,Moche,green,new,,,,
PM-74,-8.1369773,-78.9973597,Moche,green,new,,,,
PM-77,-8.1470131,-79.0024036,Moche,green,new,,,,
PM-78,-8.1330704,-78.9949591,Moche,green,new,,,,
PM-79,-8.1329792,-78.9948816,Moche,green,new,,,,
PM-84,-8.1719455,-79.0081707,Moche,green,new,,,,
PM-85,-8.1870141,-79.0078850,Moche,green,new,,,,
PM-9,-8.1608797,-79.0116043,Moche,green,new,,,,
PM-91,-8.1787740,-78.9921884,Moche,green,new,,,,
PM-93,-8.1830243,-78.9866416,Moche,green,new,,,,
PM-96,-8.1815146,-78.9966860,Moche,green,new,,,,
PM-SC3,-8.1785533,-78.9921911,Moche,green,new,,,,
PS-13,-8.1928636,-78.9919811,Paraderos_Salaverry,green,new,,,,
PS-19,-8.2095783,-78.9814746,Paraderos_Salaverry,green,new,,,,
PS-28,-8.1946849,-78.9712951,Paraderos_Salaverry,green,new,,,,
PS-29,-8.1921699,-78.9741267,Paraderos_Salaverry,green,new,,,,
PS-41,-8.1884746,-78.9852063,Paraderos_Salaverry,green,new,,,,
PS-44,-8.2191521,-78.9714552,Paraderos_Salaverry,green,new,,,,
PS-48,-8.2147377,-78.9775392,Paraderos_Salaverry,green,new,,,,
PS-51,-8.2079615,-78.9816996,Paraderos_Salaverry,green,new,,,,
PS-56,-8.1943558,-78.9907303,Paraderos_Salaverry,green,new,,,,
PS-6,-8.1906340,-78.9804940,Paraderos_Salaverry,green,new,,,,
PS-64,-8.1882321,-78.9795803,Paraderos_Salaverry,green,new,,,,
ABR-361,-8.0976209,-79.0010685,Puntos_Paraderos,green,new,,,,
ABR-362,-8.0962256,-79.0008402,Puntos_Paraderos,green,new,,,,
ABR-363,-8.0949266,-78.9995128,Puntos_Paraderos,green,new,,,,
ABR-364,-8.0949471,-78.9970251,Puntos_Paraderos,green,new,,,,
ABR-365,-8.0973298,-78.9960467,Puntos_Paraderos,green,new,,,,
