relation_id,ref,name,n_paradas_v1,n_paradas_v2,paradas_nuevas,paradas_removidas,paradas_repetidas
19972128,C-21 R,Alto Trujillo → Valle Sol,63,63,0,0,0
19972130,C-27 B,Avenida Circunvalación → Avenida José María Eguren,55,55,0,0,0
19972154,C-27 B,Avenida José María Eguren → Avenida Circunvalación,40,40,0,0,0
19972155,C-22 M,Valle So → Alto Trujillo,62,62,0,0,0
19972157,C-22 M,Alto Trujillo → Valle So,61,61,0,0,0
19972158,"C-24 H1, H2",Avenida Larco → Calle 01,87,87,0,0,2
19972163,C-28 C,Sector Cerrito La Virgen → Óvalo Los Sauces,60,60,0,0,0
19972175,C-29 A,Sector Las Lomas → Los Sauces de Barraza,50,50,0,0,0
19972176,C-28 C,Óvalo Los Sauces → Sector Cerrito La Virgen,48,48,0,0,0
19972187,C-29 A,Los Sauces de Barraza → Sector Las Lomas,39,39,0,0,0
19972190,C-28 C,Sector Cerrito La Virgen → Óvalo Los Sauces,58,58,0,0,0
19972191,C-13 D,Sector Taquila → Alto Trujillo,48,48,0,0,0
19972195,C-13 D,Alto Trujillo → Sector Taquila,56,56,0,0,0
19972196,C-28 C,Óvalo Los Sauces → Sector Cerrito La Virgen,46,46,0,0,0
19972422,C-29 A,Sector Las Lomas → Los Sauces de Barraza,54,54,0,0,0
19972433,C-29 A,Los Sauces de Barraza → Sector Las Lomas,39,39,0,0,0
19972458,C-40 W,Barrio 1B → Avenida San José,43,43,0,0,0
19972461,C-30 C,Sector Cushmun → Avenida Los Laureles,32,32,0,0,1
19972466,C-40 W,Avenida San José → Barrio 1B,48,48,0,0,0
19972467,C-44 T2,Barrio 1B → Avenida San José,47,47,0,0,0
19972470,C-30 C,Avenida Los Laureles → Sector Cushmun,28,28,0,0,0
19972472,C-44 T2,Avenida San José → Barrio 1B,51,51,0,0,0
19972473,C-31 P,Sector Huangabal → Avenida Prolongación Santa,29,29,0,0,1
19972474,C-39 S,Calle Inca Roca → Calle Jirón Santa Isabel,46,46,0,0,0
19972475,C-39 S,Avenida San José → Calle Ascencio Vergara,51,51,0,0,0
19972478,C-38 S4,Avenida Luis Condemarín → Avenida Luis Condemarín,50,50,0,0,0
19972479,C-31 P,Avenida Prolongación Santa → Sector Huangabal,22,22,0,0,0
19972495,C-37 R,Rosas del Valle 1ra Etapa → Avenida Julian Arce,48,48,0,0,0
19972496,C-32 S,Mucha → Palermo,30,30,0,0,1
19972501,C-37 R,Avenida Julian Arce → Rosas del Valle 1ra Etapa,45,45,0,0,0
19972502,C-32 S,Palermo → Mucha,22,22,0,0,0
19972504,C-36 Y,San Andrés 5ta Etapa → Víctor Raúl Haya de La Torre,51,51,0,0,0
19972505,C-36 Y,Víctor Raúl Haya de La Torre → San Andrés 5ta Etapa,45,45,0,0,0
19972508,C-15 P1,Sector Tres Cruces → Avenida America del Sur,25,25,0,0,0
19972509,C-35 S3,Buganvillas del Golf → Víctor Raúl Haya de La Torre,50,50,0,0,0
19972510,C-35 S3,Víctor Raúl Haya de La Torre → Buganvillas del Golf,52,52,0,0,0
19972512,C-34 G,Virgen del Socorro → Virgen del Socorro,62,62,0,0,0
19972515,C-33 P2,Sector Platanar → Avenida America del Sur,32,32,0,0,0
19972516,C-33 P2,Avenida América Sur → Sector Platanar,36,36,0,0,1
19972901,M-17 C2,Avenida Dos → Avenida Dos,82,82,0,0,0
