relation_id,type,route,ref,name,from,to,operator,network,colour,public_transport_version
19972187,route,bus,C-29 A,Los Sauces de Barraza → Sector Las Lomas,Los Sauces de Barraza,Sector Las Lomas,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972433,route,bus,C-29 A,Los Sauces de Barraza → Sector Las Lomas,Los Sauces de Barraza,Sector Las Lomas,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972175,route,bus,C-29 A,Sector Las Lomas → Los Sauces de Barraza,Sector Las Lomas,Los Sauces de Barraza,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972422,route,bus,C-29 A,Sector Las Lomas → Los Sauces de Barraza,Sector Las Lomas,Los Sauces de Barraza,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972470,route,bus,C-30 C,Avenida Los Laureles → Sector Cushmun,Avenida Los Laureles,Sector Cushmun,BELLO HORIZONTE S.A.,Transporte Público Urbano Trujillo,#ffd966,2
19972461,route,bus,C-30 C,Sector Cushmun → Avenida Los Laureles,Sector Cushmun,Avenida Los Laureles,BELLO HORIZONTE S.A.,Transporte Público Urbano Trujillo,#ffd966,2
19972479,route,bus,C-31 P,Avenida Prolongación Santa → Sector Huangabal,Avenida Prolongación Santa,Sector Huangabal,BELLO HORIZONTE S.A.,Transporte Público Urbano Trujillo,#ffd966,2
19972473,route,bus,C-31 P,Sector Huangabal → Avenida Prolongación Santa,Sector Huangabal,Avenida Prolongación Santa,BELLO HORIZONTE S.A.,Transporte Público Urbano Trujillo,#ffd966,2
19972496,route,bus,C-32 S,Mucha → Palermo,Mucha,Palermo,BELLO HORIZONTE S.A.,Transporte Público Urbano Trujillo,#ffd966,2
19972502,route,bus,C-32 S,Palermo → Mucha,Palermo,Mucha,BELLO HORIZONTE S.A.,Transporte Público Urbano Trujillo,#ffd966,2
19990939,route,bus,C-32 S,Palermo → Sector Collambay,Palermo,Sector Collambay,BELLO HORIZONTE S.A.,Transporte Público Urbano Trujillo,#ffd966,2
19991778,route,bus,C-32 S,Sector Collambay → Palermo,Sector Collambay,Palermo,BELLO HORIZONTE S.A.,Transporte Público Urbano Trujillo,#ffd966,2
19988728,route,bus,C-33 P2,Avenida America del Sur → Sector Platanar,Avenida America del Sur,Sector Platanar,POROTO S.A.,Transporte Público Urbano Trujillo,#808080,2
19972516,route,bus,C-33 P2,Avenida América Sur → Sector Platanar,Avenida América Sur,Sector Platanar,SANTA ROSA S.R.L.,Transporte Público Urbano Trujillo,#c90076,2
19972515,route,bus,C-33 P2,Sector Platanar → Avenida America del Sur,Sector Platanar,Avenida America del Sur,SANTA ROSA S.R.L.,Transporte Público Urbano Trujillo,#c90076,2
19988714,route,bus,C-33 P2,Sector Platanar → Avenida America del Sur,Sector Platanar,Avenida America del Sur,POROTO S.A.,Transporte Público Urbano Trujillo,#808080,2
19972512,route,bus,C-34 G,Virgen del Socorro → Virgen del Socorro,Virgen del Socorro,Virgen del Socorro,LOS GIRASOLES SERVICE S.R.L.,Transporte Público Urbano Trujillo,#FFCC00,2
19973941,route,bus,C-34 G,Virgen del Socorro → Virgen del Socorro,Virgen del Socorro,Virgen del Socorro,LOS GIRASOLES SERVICE S.R.L.,Transporte Público Urbano Trujillo,#FFCC00,2
19972509,route,bus,C-35 S3,Buganvillas del Golf → Víctor Raúl Haya de La Torre,Buganvillas del Golf,Víctor Raúl Haya de La Torre,SEÑOR DE LA MISERICORDIA S.A.,Transporte Público Urbano Trujillo,#660066,2
19972510,route,bus,C-35 S3,Víctor Raúl Haya de La Torre → Buganvillas del Golf,Víctor Raúl Haya de La Torre,Buganvillas del Golf,SEÑOR DE LA MISERICORDIA S.A.,Transporte Público Urbano Trujillo,#660066,2
19972504,route,bus,C-36 Y,San Andrés 5ta Etapa → Víctor Raúl Haya de La Torre,San Andrés 5ta Etapa,Víctor Raúl Haya de La Torre,SEÑOR DE LA MISERICORDIA S.A.,Transporte Público Urbano Trujillo,#660066,2
19972505,route,bus,C-36 Y,Víctor Raúl Haya de La Torre → San Andrés 5ta Etapa,Víctor Raúl Haya de La Torre,San Andrés 5ta Etapa,SEÑOR DE LA MISERICORDIA S.A.,Transporte Público Urbano Trujillo,#660066,2
19972501,route,bus,C-37 R,Avenida Julian Arce → Rosas del Valle 1ra Etapa,Avenida Julian Arce,Rosas del Valle 1ra Etapa,SEÑOR DE LA MISERICORDIA S.A.,Transporte Público Urbano Trujillo,#660066,2
19972495,route,bus,C-37 R,Rosas del Valle 1ra Etapa → Avenida Julian Arce,Rosas del Valle 1ra Etapa,Avenida Julian Arce,SEÑOR DE LA MISERICORDIA S.A.,Transporte Público Urbano Trujillo,#660066,2
19972478,route,bus,C-38 S4,Avenida Luis Condemarín → Avenida Luis Condemarín,Avenida Luis Condemarín,Avenida Luis Condemarín,CORAZÓN DE JESÚS S.A.C.,Transporte Público Urbano Trujillo,#FFFFFF,2
19988589,route,bus,C-38 S4,Avenida Luis Condemarín → Avenida Luis Condemarín,Avenida Luis Condemarín,Avenida Luis Condemarín,CORAZÓN DE JESÚS S.A.C.,Transporte Público Urbano Trujillo,#FFFFFF,2
19972475,route,bus,C-39 S,Avenida San José → Calle Ascencio Vergara,Avenida San José,Calle Ascencio Vergara,MIRAMAR S.A.,Transporte Público Urbano Trujillo,#3399FF,2
19968053,route,bus,C-39 S,Calle Inca Roca → Calle Jirón Santa Isabel,Calle Inca Roca,Calle Jirón Santa Isabel,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19972474,route,bus,C-39 S,Calle Inca Roca → Calle Jirón Santa Isabel,Calle Inca Roca,Calle Jirón Santa Isabel,MIRAMAR S.A.,Transporte Público Urbano Trujillo,#3399FF,2
19968040,route,bus,C-39 S,Calle Jirón Santa Isabel → Calle Inca Roca,Calle Jirón Santa Isabel,Calle Inca Roca,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19972466,route,bus,C-40 W,Avenida San José → Barrio 1B,Avenida San José,Barrio 1B,MIRAMAR S.A.,Transporte Público Urbano Trujillo,#3399FF,2
19972458,route,bus,C-40 W,Barrio 1B → Avenida San José,Barrio 1B,Avenida San José,MIRAMAR S.A.,Transporte Público Urbano Trujillo,#3399FF,2
19972072,route,bus,C-41 Z2,Avenida Dinamarca → Distrito Huanchaco,Avenida Dinamarca,Distrito Huanchaco,ARCO IRIS EXPRESS S.A.,Transporte Público Urbano Trujillo,#3366FF,2
