trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
19950139,06:18:00,06:18:00,PE-45,17,0,0
19950139,06:19:00,06:19:00,PE-46,18,0,0
19950139,06:20:00,06:20:00,PE-301,19,0,0
19950139,06:22:00,06:22:00,TUPAT-126,20,0,0
19950139,06:24:00,06:24:00,TUPAT-124,21,0,0
19950139,06:25:00,06:25:00,TUPAT-121,22,0,0
19950139,06:26:00,06:26:00,TUPAT-120,23,0,0
19950139,06:27:00,06:27:00,AMN-21,24,0,0
19950139,06:28:00,06:28:00,AMN-35,25,0,0
19950139,06:29:00,06:29:00,AMN-33,26,0,0
19950139,06:30:00,06:30:00,AMN-31,27,0,0
19950139,06:31:00,06:31:00,AMN-29,28,0,0
19950139,06:32:00,06:32:00,AMN-19,29,0,0
19950139,06:33:00,06:33:00,AMN-17,30,0,0
19950139,06:34:00,06:34:00,AMS-59,31,0,0
19950139,06:36:00,06:36:00,AMS-63,32,0,0
19950139,06:38:00,06:38:00,AMS-66,33,0,0
19950139,06:39:00,06:39:00,AMS-64,34,0,0
19950139,06:40:00,06:40:00,AMS-62,35,0,0
19950139,06:41:00,06:41:00,AMS-40,36,0,0
19950139,06:43:00,06:43:00,IN-170,37,0,0
19950139,06:44:00,06:44:00,IN-168,38,0,0
19950139,06:46:00,06:46:00,ESP-6,39,0,0
19950139,06:47:00,06:47:00,ESP-3,40,0,0
19950139,06:48:00,06:48:00,ESP-2,41,0,0
19950139,06:49:00,06:49:00,JPT-138,42,0,0
19950139,06:50:00,06:50:00,JPT-139,43,0,0
19950139,06:51:00,06:51:00,JPT-127,44,0,0
19950139,06:52:00,06:52:00,JPT-131,45,0,0
19950139,06:53:00,06:53:00,AMS-43,46,0,0
19950139,06:54:00,06:54:00,AMS-45,47,0,0
19950139,06:55:00,06:55:00,VLHT-97,48,0,0
19950139,06:56:00,06:56:00,PVL-47,49,0,0
19950139,06:57:00,06:57:00,PVL-48,50,0,0
19950139,06:59:00,06:59:00,PVL-25,51,0,0
19950139,07:00:00,07:00:00,PVL-26,52,0,0
19950139,07:01:00,07:01:00,PVL-SC-HUAMAN,53,0,0
19950139,07:02:00,07:02:00,PVL-23,54,0,0
19950139,07:03:00,07:03:00,PVL-27,55,0,0
19950139,07:04:00,07:04:00,PVL-28,56,0,0
19950139,07:05:00,07:05:00,PVL-29,57,0,0
19950139,07:06:00,07:06:00,PVL-30,58,0,0
19950139,07:09:00,07:09:00,SYNTH_END_19950139,59,1,0
19950214,06:00:00,06:00:00,SYNTH_START_19950214,1,0,1
19950214,06:01:00,06:01:00,PVL-12,2,0,0
19950214,06:02:00,06:02:00,PVL-11,3,0,0
19950214,06:03:00,06:03:00,PVL-10,4,0,0
19950214,06:04:00,06:04:00,PVL-9,5,0,0
19950214,06:06:00,06:06:00,PVL-24,6,0,0
19950214,06:08:00,06:08:00,PVL-7,7,0,0
19950214,06:13:00,06:13:00,VLHT-98,8,0,0
19950214,06:14:00,06:14:00,AMS-44,9,0,0
19950214,06:16:00,06:16:00,JPT-130,10,0,0
19950214,06:17:00,06:17:00,JPT-128,11,0,0
19950214,06:18:00,06:18:00,JPT-129,12,0,0
19950214,06:19:00,06:19:00,JEN-140,13,0,0
19950214,06:20:00,06:20:00,ESP-5,14,0,0
19950214,06:21:00,06:21:00,ESP-4,15,0,0
19950214,06:22:00,06:22:00,JUL-436,16,0,0
19950214,06:23:00,06:23:00,JUL-440,17,0,0
19950214,06:24:00,06:24:00,JUL-435,18,0,0
19950214,06:25:00,06:25:00,COSR-337,19,0,0
19950214,06:26:00,06:26:00,IN-167,20,0,0
19950214,06:27:00,06:27:00,IN-169,21,0,0
19950214,06:30:00,06:30:00,AMS-41,22,0,0
19950214,06:31:00,06:31:00,AMS-61,23,0,0
19950214,06:32:00,06:32:00,AMS-65,24,0,0
19950214,06:34:00,06:34:00,AMS-60,25,0,0
19950214,06:36:00,06:36:00,AMS-58,26,0,0
19950214,06:37:00,06:37:00,AMN-16,27,0,0
19950214,06:38:00,06:38:00,AMN-18,28,0,0
19950214,06:39:00,06:39:00,AMN-20,29,0,0
19950214,06:40:00,06:40:00,AMN-30,30,0,0
19950214,06:41:00,06:41:00,AMN-32,31,0,0
19950214,06:42:00,06:42:00,AMN-34,32,0,0
19950214,06:43:00,06:43:00,AMN-22,33,0,0
19950214,06:44:00,06:44:00,TUPAT-119,34,0,0
19950214,06:45:00,06:45:00,TUPAT-122,35,0,0
19950214,06:47:00,06:47:00,TUPAT-125,36,0,0
19950214,06:49:00,06:49:00,PE-302,37,0,0
19950214,06:53:00,06:53:00,PE-198,38,0,0
19950214,06:55:00,06:55:00,PE-189,39,0,0
19950214,06:56:00,06:56:00,PE-188,40,0,0
19950214,06:57:00,06:57:00,PE-272,41,0,0
19950214,06:58:00,06:58:00,PE-274,42,0,0
19950214,06:59:00,06:59:00,PE-275,43,0,0
19950214,07:00:00,07:00:00,PE-110,44,0,0
19950214,07:01:00,07:01:00,PE-111,45,0,0
19950214,07:02:00,07:02:00,PE-103,46,0,0
19950214,07:03:00,07:03:00,PE-118,47,0,0
19950214,07:04:00,07:04:00,PE-113,48,0,0
19950214,07:05:00,07:05:00,PE-107,49,0,0
19950214,07:06:00,07:06:00,PE-114,50,0,0
19950214,07:07:00,07:07:00,PE-106,51,0,0
19950214,07:09:00,07:09:00,PE-117,52,0,0
19950214,07:10:00,07:10:00,SYNTH_END_19950214,53,1,0
19953369,06:00:00,06:00:00,SYNTH_START_19953369,1,0,1
19953369,06:01:00,06:01:00,MEI-394,2,0,0
19953369,06:02:00,06:02:00,MEI-395,3,0,0
19953369,06:04:00,06:04:00,MEII-390,4,0,0
19953369,06:05:00,06:05:00,MEII-388,5,0,0
19953369,06:06:00,06:06:00,MEII-386,6,0,0
19953369,06:07:00,06:07:00,MANT-111,7,0,0
19953369,06:08:00,06:08:00,MANT-105,8,0,0
19953369,06:09:00,06:09:00,AMEO-68,9,0,0
19953369,06:10:00,06:10:00,AMEO-70,10,0,0
19953369,06:11:00,06:11:00,AMEO-71,11,0,0
19953369,06:12:00,06:12:00,AMEO-74,12,0,0
19953369,06:13:00,06:13:00,AMEO-75,13,0,0
19953369,06:14:00,06:14:00,AMEO-79,14,0,0
19953369,06:15:00,06:15:00,AMEO-80,15,0,0
19953369,06:16:00,06:16:00,AMS-43,16,0,0
19953369,06:17:00,06:17:00,AMS-45,17,0,0
19953369,06:18:00,06:18:00,AMS-46,18,0,0
19953369,06:19:00,06:19:00,AMS-39,19,0,0
19953369,06:20:00,06:20:00,AMS-49,20,0,0
19953369,06:21:00,06:21:00,AMS-51,21,0,0
19953369,06:24:00,06:24:00,AMS-52,22,0,0
19953369,06:25:00,06:25:00,AMS-54,23,0,0
19953369,06:26:00,06:26:00,AMS-56,24,0,0
19953369,06:27:00,06:27:00,AMS-41,25,0,0
19953369,06:29:00,06:29:00,JOSA-520,26,0,0
19953369,06:30:00,06:30:00,EGR-266,27,0,0
19953369,06:31:00,06:31:00,ESP-8,28,0,0
19953369,06:32:00,06:32:00,ESP-10,29,0,0
19953369,06:33:00,06:33:00,ESP-12,30,0,0
19953369,06:34:00,06:34:00,ESP-14,31,0,0
19953369,06:35:00,06:35:00,AGR-523,32,0,0
19953369,06:36:00,06:36:00,SALVLA-298,33,0,0
19953369,06:37:00,06:37:00,SALVLA-299,34,0,0
19953369,06:38:00,06:38:00,SALVLA-302,35,0,0
19953369,06:39:00,06:39:00,SALVLA-304,36,0,0
19953369,06:40:00,06:40:00,AMN-32,37,0,0
19953369,06:41:00,06:41:00,AMN-34,38,0,0
19953369,06:42:00,06:42:00,AMN-22,39,0,0
19953369,06:43:00,06:43:00,TUPAT-119,40,0,0
19953369,06:44:00,06:44:00,TUPAT-122,41,0,0
19953369,06:46:00,06:46:00,TUPAT-125,42,0,0
19953369,06:48:00,06:48:00,PE-292,43,0,0
19953369,06:49:00,06:49:00,PE-308,44,0,0
19953369,06:50:00,06:50:00,PE-58,45,0,0
19953369,06:51:00,06:51:00,PE-186,46,0,0
19953369,06:52:00,06:52:00,PE-56,47,0,0
19953369,06:53:00,06:53:00,PE-55,48,0,0
19953369,06:55:00,06:55:00,PE-78,49,0,0
19953369,06:57:00,06:57:00,PE-234,50,0,0
19953369,06:59:00,06:59:00,PE-229,51,0,0
19953369,07:00:00,07:00:00,PE-227,52,0,0
19953369,07:01:00,07:01:00,PE-120,53,0,0
19953369,07:03:00,07:03:00,PE-112,54,0,0
19953369,07:05:00,07:05:00,PE-107,55,0,0
19953369,07:06:00,07:06:00,PE-114,56,0,0
19953369,07:10:00,07:10:00,PE-105,57,0,0
19953369,07:18:00,07:18:00,PE-231,58,0,0
19953369,07:21:00,07:21:00,PE-239_1,59,0,0
19953369,07:23:00,07:23:00,PE-54,60,0,0
19953369,07:24:00,07:24:00,PE-184,61,0,0
19953369,07:29:00,07:29:00,PE-289,62,0,0
19953369,07:30:00,07:30:00,PE-285,63,0,0
19953369,07:32:00,07:32:00,NPT-210,64,0,0
19953369,07:34:00,07:34:00,SYNTH_END_19953369,65,1,0
19953601,06:00:00,06:00:00,SYNTH_START_19953601,1,0,1
19953601,06:01:00,06:01:00,PH-44,2,0,0
19953601,06:03:00,06:03:00,PH-42,3,0,0
19953601,06:04:00,06:04:00,PH-41,4,0,0
19953601,06:05:00,06:05:00,PH-40,5,0,0
19953601,06:06:00,06:06:00,PH-39,6,0,0
19953601,06:09:00,06:09:00,PH-6,7,0,0
19953601,06:10:00,06:10:00,PH-7,8,0,0
19953601,06:11:00,06:11:00,PH-8,9,0,0
19953601,06:12:00,06:12:00,PH-9,10,0,0
19953601,06:13:00,06:13:00,PH-10,11,0,0
19953601,06:14:00,06:14:00,PH-11,12,0,0
19953601,06:16:00,06:16:00,PH-12,13,0,0
19953601,06:17:00,06:17:00,PH-13,14,0,0
19953601,06:18:00,06:18:00,PH-14,15,0,0
19953601,06:22:00,06:22:00,PH-46,16,0,0
19953601,06:23:00,06:23:00,PH-23,17,0,0
19953601,06:24:00,06:24:00,PH-24,18,0,0
19953601,06:25:00,06:25:00,PH-45,19,0,0
19953601,06:26:00,06:26:00,PH-56,20,0,0
19953601,06:27:00,06:27:00,PH-79,21,0,0
19953601,06:28:00,06:28:00,PH-57,22,0,0
19953601,06:29:00,06:29:00,PH-78,23,0,0
19953601,06:33:00,06:33:00,PH-60,24,0,0
19953601,06:36:00,06:36:00,PH-80,25,0,0
19953601,06:37:00,06:37:00,PH-81,26,0,0
19953601,06:39:00,06:39:00,PH-48,27,0,0
19953601,06:41:00,06:41:00,PH-49,28,0,0
19953601,06:42:00,06:42:00,PH-50,29,0,0
19953601,06:45:00,06:45:00,PH-52,30,0,0
19953601,06:46:00,06:46:00,PH-53,31,0,0
19953601,06:47:00,06:47:00,PH-54,32,0,0
19953601,06:48:00,06:48:00,PH-55,33,0,0
19953601,06:53:00,06:53:00,JEN-148,34,0,0
19953601,06:54:00,06:54:00,JEN-146,35,0,0
19953601,06:55:00,06:55:00,JEN-144,36,0,0
19953601,06:56:00,06:56:00,JEN-141,37,0,0
19953601,06:57:00,06:57:00,JEN-140,38,0,0
19953601,06:58:00,06:58:00,ESP-5,39,0,0
19953601,06:59:00,06:59:00,ESP-4,40,0,0
19953601,07:00:00,07:00:00,JUL-436,41,0,0
19953601,07:01:00,07:01:00,JUL-440,42,0,0
19953601,07:02:00,07:02:00,JUL-435,43,0,0
19953601,07:03:00,07:03:00,JUL-438,44,0,0
19953601,07:04:00,07:04:00,MO-419,45,0,0
19953601,07:05:00,07:05:00,LAM-415,46,0,0
19953601,07:06:00,07:06:00,LAM-413,47,0,0
19953601,07:07:00,07:07:00,LAM-417,48,0,0
19953601,07:08:00,07:08:00,SYNTH_END_19953601,49,1,0
19959151,06:00:00,06:00:00,SYNTH_START_19959151,1,0,1
19959151,06:02:00,06:02:00,PH-37,2,0,0
19959151,06:03:00,06:03:00,PH-3,3,0,0
19959151,06:06:00,06:06:00,PH-6,4,0,0
19959151,06:07:00,06:07:00,PH-7,5,0,0
19959151,06:08:00,06:08:00,PH-8,6,0,0
19959151,06:09:00,06:09:00,PH-9,7,0,0
19959151,06:10:00,06:10:00,PH-10,8,0,0
19959151,06:11:00,06:11:00,PH-11,9,0,0
19959151,06:13:00,06:13:00,PH-12,10,0,0
19959151,06:14:00,06:14:00,PH-13,11,0,0
19959151,06:15:00,06:15:00,PH-14,12,0,0
19959151,06:18:00,06:18:00,PH-15,13,0,0
19959151,06:23:00,06:23:00,PH-17,14,0,0
19959151,06:25:00,06:25:00,PH-80,15,0,0
19959151,06:26:00,06:26:00,PH-81,16,0,0
19959151,06:28:00,06:28:00,PH-48,17,0,0
19959151,06:30:00,06:30:00,PH-49,18,0,0
19959151,06:31:00,06:31:00,PH-50,19,0,0
19959151,06:34:00,06:34:00,PH-52,20,0,0
19959151,06:35:00,06:35:00,PH-53,21,0,0
19959151,06:36:00,06:36:00,PH-54,22,0,0
19959151,06:37:00,06:37:00,PH-55,23,0,0
19959151,06:38:00,06:38:00,MANT-113,24,0,0
19959151,06:40:00,06:40:00,MANT-111,25,0,0
19959151,06:41:00,06:41:00,MANT-105,26,0,0
19959151,06:42:00,06:42:00,MANT-108,27,0,0
19959151,06:43:00,06:43:00,MANT-101,28,0,0
19959151,06:44:00,06:44:00,MANT-100,29,0,0
19959151,06:45:00,06:45:00,ROM-370,30,0,0
19959151,06:46:00,06:46:00,PEMU-342,31,0,0
19959151,06:48:00,06:48:00,JEN-141,32,0,0
19959151,06:49:00,06:49:00,JPT-139,33,0,0
19959151,06:50:00,06:50:00,JPT-127,34,0,0
19959151,06:51:00,06:51:00,JPT-131,35,0,0
19959151,06:52:00,06:52:00,AMS-43,36,0,0
19959151,06:53:00,06:53:00,AMS-45,37,0,0
19959151,06:54:00,06:54:00,AMS-46,38,0,0
19959151,06:55:00,06:55:00,AMS-39,39,0,0
19959151,06:56:00,06:56:00,AMS-49,40,0,0
19959151,06:57:00,06:57:00,AMS-51,41,0,0
19959151,07:00:00,07:00:00,AMS-52,42,0,0
19959151,07:01:00,07:01:00,AMS-54,43,0,0
19959151,07:02:00,07:02:00,AMS-56,44,0,0
19959151,07:03:00,07:03:00,AMS-41,45,0,0
19959151,07:04:00,07:04:00,RIP-327,46,0,0
19959151,07:05:00,07:05:00,RIP-325,47,0,0
19959151,07:06:00,07:06:00,RIP-323,48,0,0
19959151,07:07:00,07:07:00,ANBE-375,49,0,0
19959151,07:09:00,07:09:00,ROME-534,50,0,0
19959151,07:10:00,07:10:00,SOCR-499,51,0,0
19959151,07:11:00,07:11:00,LUSE-501,52,0,0
19959151,07:12:00,07:12:00,BLPAS-448,53,0,0
19959151,07:14:00,07:14:00,AMS-58,54,0,0
19959151,07:15:00,07:15:00,AMN-16,55,0,0
19959151,07:16:00,07:16:00,AMN-18,56,0,0
19959151,07:17:00,07:17:00,AMN-20,57,0,0
19959151,07:18:00,07:18:00,AMN-30,58,0,0
19959151,07:19:00,07:19:00,AMN-32,59,0,0
19959151,07:20:00,07:20:00,AMN-34,60,0,0
19959151,07:21:00,07:21:00,AMN-22,61,0,0
19959151,07:22:00,07:22:00,AMN-23,62,0,0
19959151,07:23:00,07:23:00,AMN-25,63,0,0
19959151,07:24:00,07:24:00,AMN-27,64,0,0
19959151,07:25:00,07:25:00,MANT-103,65,0,0
19959151,07:29:00,07:29:00,MANT-114,66,0,0
19959151,07:30:00,07:30:00,MANT-110,67,0,0
19959151,07:35:00,07:35:00,PH-66,68,0,0
19959151,07:42:00,07:42:00,PH-70,69,0,0
19959151,07:43:00,07:43:00,PH-71,70,0,0
19959151,07:45:00,07:45:00,PH-82,71,0,0
19959151,07:47:00,07:47:00,PH-25,72,0,0
19959151,07:50:00,07:50:00,PH-26,73,0,0
19959151,07:52:00,07:52:00,PH-27,74,0,0
19959151,07:56:00,07:56:00,PH-29,75,0,0
19959151,07:58:00,07:58:00,PH-31,76,0,0
19959151,07:59:00,07:59:00,PH-32,77,0,0
19959151,08:00:00,08:00:00,PH-33,78,0,0
19959151,08:07:00,08:07:00,PH-5,79,0,0
19959151,08:08:00,08:08:00,SYNTH_END_19959151,80,1,0
19959184,06:00:00,06:00:00,SYNTH_START_19959184,1,0,1
19959184,06:01:00,06:01:00,PH-1,2,0,0
19959184,06:02:00,06:02:00,PH-2,3,0,0
19959184,06:03:00,06:03:00,PH-37,4,0,0
19959184,06:04:00,06:04:00,PH-3,5,0,0
19959184,06:07:00,06:07:00,PH-6,6,0,0
19959184,06:08:00,06:08:00,PH-7,7,0,0
19959184,06:09:00,06:09:00,PH-8,8,0,0
