osm_id,osm_type,nombre,lat,lon,pt_type,operator,network,route_ref
4346707989,node,Bus Stop,-8.1238688,-79.0237962,stop_position,,,
4357890717,node,Bus Stop,-8.064337,-79.0516312,stop_position,,,
6051245685,node,Bus a Huacas del Sol y Luna,-8.1241802,-79.0234628,stop_position,,,
6698159386,node,Bus a Huanchaco,-8.1230348,-79.0227922,stop_position,,,
4346105642,node,Bus a Trujillo,-8.0796661,-79.118394,stop_position,,,
6696035186,node,Bus a Trujillo,-8.0733835,-79.1190671,stop_position,,,
4934626821,node,Bus para Huacas del Sol y la Luna,-8.1162336,-79.0231138,stop_position,,,
4126657191,node,Buses to Huaca del Sol y de la Luna,-8.1128442,-79.0199982,stop_position,,,
3221209966,node,CIVA Bus,-8.1043366,-79.0231777,bus_station,,,
11911534029,node,Calle 1,-8.0859161,-79.0432835,stop_position,,,
11910645397,node,Calle 26,-8.1129353,-79.0479103,platform,,,
11910518846,node,Calle 8 de Octubre,-8.0939317,-79.0254575,platform,,,
11895957225,node,Calle Agricultura,-8.1056576,-79.0276442,platform,,,
11911534030,node,Calle Alfonso Ugarte,-8.0235139,-79.0648297,platform,,,
11910518851,node,Calle Aristoteles,-8.1049041,-79.0102588,platform,,,
11910359976,node,Calle Australia,-8.1265956,-79.0311411,platform,,,
11910518853,node,Calle Calcuchimac,-8.1220046,-79.0213577,platform,,,
12121155283,node,Calle Dean Saavedra,-8.0968143,-79.1089694,platform,,,
11910518847,node,Calle Julio Chiriboga,-8.0938786,-79.0236919,platform,,,
12121155296,node,Calle Los Geranios,-8.1522998,-79.011679,platform,,,
11910518850,node,Calle Prolongación Unión,-8.1002262,-79.013052,stop_position,,,
12094668588,node,Calle Prolongación Unión,-8.1002172,-79.0129678,stop_position,,,
12121155294,node,Calle Ramal La Esperanza,-8.1492896,-79.0115395,platform,,,
11910359974,node,Calle República Dominicana,-8.1267576,-79.0324862,platform,,,
11910359973,node,Calle República Dominicana II,-8.1267788,-79.0323038,platform,,,
11910518834,node,Calle Salaverry,-8.1062889,-79.0360898,platform,,,
11910518835,node,Calle Santiago de Chile,-8.1061083,-79.0362453,platform,,,
11911534031,node,Calle Tupac Amaru,-8.0227291,-79.0651073,platform,,,
12121155286,node,Calle el Aromo,-8.090688,-79.0863611,platform,,,
12121155285,node,Calle las Tunas,-8.0915936,-79.0835944,platform,,,
11910518839,node,Calle los Brillantes,-8.096485,-79.038489,platform,,,
11910518837,node,Calle los Zafiros,-8.1041048,-79.0367255,platform,,,
11480776773,node,Colectivos a Huanchaco,-8.110608,-79.0330471,stop_position,,,
4291200492,node,Cromotex,-8.1047703,-79.0235414,bus_station,,,
4560993791,node,Cruz del Sur,-8.1036409,-79.0235283,stop_position,,,
5423449225,node,Ecotur,-8.1014025,-79.0101989,bus_station,,,
4370377391,node,El Sol,-8.1063565,-79.0330249,bus_station,,,
4466772889,node,Empresa de Transporte Los Girasoles Service,-8.0545206,-79.0776688,bus_station,,,
3505211981,node,Empresa de Transportes 14 (bus to Huaraz),-8.1186674,-79.0247737,bus_station,Empresa de Transportes 14 S.R.L.,,
4952848823,node,Empresa de Transportes Huanchaco,-8.1000202,-79.0625608,bus_station,,,
4357959492,node,Empresa de Transportes Vigo S.A.,-8.0642295,-79.051319,bus_station,,,
5869782685,node,"Empresa de transporte ""El Cortijo"" S.A",-8.0632836,-78.9904411,bus_station,,,
4952862521,node,Emtrafesa,-8.0945301,-79.0388622,bus_station,,,
