relation_id,ref,length_m,gap_start_m,gap_end_m,from,to,start_lat,start_lon,end_lat,end_lon,severity
19961936,M-12 C,19444,72,357,Via Panamericana Norte,Avenida Libertad,-7.9982972,-79.0730870,-8.1385973,-79.0572438,warning
19961948,M-36 LV,24078,112,357,Calle Virgen de la Puerta,Avenida Libertad,-8.0761775,-78.9472492,-8.1385973,-79.0572438,warning
19966196,M-10 B1,19863,68,357,Avenida Los Tulipanes,Avenida Libertad,-8.0591097,-79.0822281,-8.1385973,-79.0572438,warning
19972163,C-28 C,26678,352,79,Sector Cerrito La Virgen,Óvalo Los Sauces,-8.0653288,-79.1092759,-8.1069780,-78.9861296,warning
19972190,C-28 C,25811,352,79,Sector Cerrito La Virgen,Óvalo Los Sauces,-8.0653288,-79.1092759,-8.1069780,-78.9861296,warning
19988797,C-28 C,26312,352,79,Sector Cerrito La Virgen,Óvalo Los Sauces,-8.0653288,-79.1092759,-8.1069780,-78.9861296,warning
19959202,M-07 V,14977,351,127,Avenida Libertad,Avenida San Pedro,-8.1385614,-79.0572990,-8.0677207,-79.0705326,warning
19959214,M-08 A,22947,351,23,Avenida Libertad,Via Panamericana Norte,-8.1385614,-79.0572990,-7.9974556,-79.0731686,warning
19959224,M-09 BC,18295,351,127,Avenida Libertad,Avenida San Pedro,-8.1385614,-79.0572990,-8.0677207,-79.0705326,warning
19961792,M-10 B1,19597,351,51,Avenida Libertad,Avenida Los Tulipanes,-8.1385614,-79.0572990,-8.0598135,-79.0830453,warning
19961919,M-12 C,19551,351,23,Avenida Libertad,Via Panamericana Norte,-8.1385614,-79.0572990,-7.9974556,-79.0731686,warning
19961958,M-36 LV,24973,351,150,Avenida Libertad,Calle Virgen de la Puerta,-8.1385614,-79.0572990,-8.0753594,-78.9469774,warning
19966193,M-10 B1,19692,351,51,Avenida Libertad,Avenida Los Tulipanes,-8.1385614,-79.0572990,-8.0598135,-79.0830453,warning
19972938,M-13 C1,22394,326,326,Ciudad de Dios,Ciudad de Dios,-8.0611630,-78.9898539,-8.0611630,-78.9898539,warning
19972176,C-28 C,25173,79,250,Óvalo Los Sauces,Sector Cerrito La Virgen,-8.1069780,-78.9861296,-8.0660298,-79.1099423,warning
