nombre,lat,lon,capa,fid,elaborado,supervisor
PE-168,-8.063717481999959,-79.07029810599994,Consolidado,1262,,
PE-169,-8.062633238999979,-79.07235514099995,Consolidado,1263,,
PE-17,-8.051042332999941,-79.07123778899995,Consolidado,1111,,
PE-170,-8.061491459999957,-79.07457255699995,Consolidado,1264,,
PE-171,-8.065408674999958,-79.07076479899996,Consolidado,1265,,
PE-172,-8.064311908999969,-79.07289284099994,Consolidado,1266,,
PE-173,-8.06323243199995,-79.07498012799994,Consolidado,1267,,
PE-174,-8.063959972999953,-79.07859655999994,Consolidado,1268,,
PE-175,-8.057535292999944,-79.07779650699996,Consolidado,1269,,
PE-176,-8.060174657999937,-79.07699603199995,Consolidado,1270,,
PE-177,-8.058260005999955,-79.07864314999995,Consolidado,1271,,
PE-178,-8.075538562999952,-79.04312774399995,Consolidado,1272,,
PE-179,-8.077805181999963,-79.04189367299995,Consolidado,1273,,
PE-18,-8.04941406499995,-79.06845712299997,Consolidado,1112,,
PE-180,-8.062201878999929,-79.04994684299999,Consolidado,1274,,
PE-181,-8.064856751999969,-79.04925314399998,Consolidado,1275,,
PE-182,-8.067710346999945,-79.04813640699996,Consolidado,1276,,
PE-183,-8.069628382999952,-79.04719338199999,Consolidado,1277,,
PE-184,-8.072036596999965,-79.04580583399996,Consolidado,1278,,
PE-185,-8.074817010999936,-79.04432079999998,Consolidado,1279,,
PE-186,-8.077108704999944,-79.04302058699994,Consolidado,1280,,
PE-187,-8.079271809999966,-79.04182426699998,Consolidado,1281,,
PE-188,-8.06353073899993,-79.05178851399995,Consolidado,1282,,
PE-189,-8.067539130999933,-79.05060939399993,Consolidado,1283,,
PE-19,-8.051161129999969,-79.06937411599995,Consolidado,1113,,
PE-190,-8.075437956999963,-79.04145129999995,Consolidado,1284,,
PE-191,-8.077385393999975,-79.04038438699996,Consolidado,1285,,
PE-192,-8.062563849999947,-79.04927061599994,Consolidado,1286,,
PE-193,-8.06543129299996,-79.04846217799997,Consolidado,1287,,
PE-194,-8.06831022199998,-79.04699984799998,Consolidado,1288,,
PE-195,-8.070455967999976,-79.04586833699994,Consolidado,1289,,
PE-196,-8.072947781999972,-79.04441671299998,Consolidado,1290,,
PE-197,-8.071951214999956,-79.04913043299996,Consolidado,1291,,
PE-198,-8.07443270799996,-79.04776535999997,Consolidado,1292,,
PE-199,-8.077263364999965,-79.04616247599995,Consolidado,1293,,
PE-2,-8.051164669999935,-79.06066454999996,Consolidado,1096,,
PE-20,-8.053801316999966,-79.07079378999998,Consolidado,1114,,
PE-200,-8.079832213999964,-79.04468570199998,Consolidado,1294,,
